ID,formula,amine_class,smiles,idx,acid_or_base,pka_type,pka_value,source,inchi_key,MLa_Prediction
64,C13H19NO3,primary,COc1cc2c(cc1O)CCC(C)(CCN)O2,15,base,pKAH1,9.81,chembl,LYRNFOXBTQIJSJ-UHFFFAOYSA-N,9.909766899004584
67,C12H13N,primary,CC(N)c1cccc2ccccc12,2,base,pKAH1,9.68,chembl,RTCUCQWIICFPOD-UHFFFAOYSA-N,8.754682110907922
70,C13H20N2,primary,NC1CCN(CCc2ccccc2)CC1,0,base,pKAH1,10.15,chembl,BCEKLYJIVXGPLQ-UHFFFAOYSA-N,10.071301890443545
83,C11H14N2O,primary,COc1ccc2c(CCN)c[nH]c2c1,9,base,pKAH1,9.74,chembl,VOCGEKMEZOPDFP-UHFFFAOYSA-N,9.809839562109607
84,C13H21N3O2,tertiary,O=C1CCCN1C1CC(CCN2CCCC2)=NO1,11,base,pKAH1,9.34,chembl,RNEKDQXWBNJZMH-UHFFFAOYSA-N,7.705168922646913
96,C8H17N,primary,C[C@H](N)C1CCCCC1,2,base,pKAH1,10.46,chembl,XBWOPGDJMAJJDG-ZETCQYMHSA-N,10.250456025653213
101,C9H18N2O2,tertiary,CCOC(=O)CN1CCN(C)CC1,6,base,pKAH1,7.39,chembl,QETJQVJIERQYIQ-UHFFFAOYSA-N,8.854762137108475
106,C13H15NO2,tertiary,O=C1C=C2C=C[C@@H]3C[C@@]2(O1)[C@H]1CCCCN31,15,base,pKAH1,9.5,chembl,SWZMSZQQJRKFBP-WZRBSPASSA-N,8.09134488124013
108,C13H15N3O2,secondary,N#Cc1ccc(C(=O)N2CC3CNCC(C3)C2)o1,12,base,pKAH1,10.26,chembl,VTZZSDWXGJOEAU-UHFFFAOYSA-N,9.560145031331398
109,C12H18N2O,tertiary,CC(C)N1CCC(Oc2cccnc2)C1,3,base,pKAH1,8.87,chembl,QAHVCSGRTAMUOX-UHFFFAOYSA-N,8.55333068767571
110,C6H15NO,primary,CC(C)C[C@H](N)CO,5,base,pKAH1,9.83,chembl,VPSSPAXIFBTOHY-LURJTMIESA-N,9.359372637591592
116,C13H16N2,secondary,c1ccc2c(C3CCNCC3)c[nH]c2c1,8,base,pKAH1,10.04,chembl,KAIRZPVWWIMPFT-UHFFFAOYSA-N,10.09851555631359
128,C11H14N2O,secondary,O=c1cccccc1N1CCNCC1,11,base,pKAH1,8.83,chembl,JJCBLOHTHPMUNB-UHFFFAOYSA-N,8.366128185161841
137,C12H17N3O3,primary,NC[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,0,base,pKAH1,8.39,chembl,QXDQIONFEUSGQV-UWVGGRQHSA-N,8.008221360698231
