feature,importance
sigma_value_42,0.08834643808041356
sigma_value_41,0.06363263780730097
sigma_value_12,0.05624366987426779
sigma_value_33,0.05044743449225842
sigma_value_17,0.047821176137513896
sigma_value_13,0.04754228050242239
sigma_value_40,0.04602924670293388
sigma_value_22,0.04246423409099218
sigma_value_14,0.04042951462436848
sigma_value_23,0.0398425335789212
sigma_value_30,0.03476104188917551
sigma_value_18,0.03057642884955229
sigma_value_11,0.030211204499660343
sigma_value_16,0.027731900120692397
sigma_value_29,0.02759473067939487
sigma_value_32,0.026040406871838225
sigma_value_39,0.02577205691787334
sigma_value_34,0.02446517225221
sigma_value_31,0.023046871515554613
sigma_value_15,0.022332348551768404
sigma_value_38,0.021104942725113172
sigma_value_35,0.019403184843593553
sigma_value_21,0.018300786826403122
sigma_value_36,0.017771950389803802
sigma_value_28,0.016858463011277934
sigma_value_19,0.015423113822772444
sigma_value_37,0.014190532245332843
sigma_value_24,0.012327207894812063
sigma_value_7,0.011929287716935915
sigma_value_10,0.011125872606418247
sigma_value_20,0.010750065220156419
sigma_value_9,0.009473780893242625
sigma_value_26,0.008936228188575117
sigma_value_25,0.008666924167468655
sigma_value_27,0.008405375033208743
sigma_value_44,9.563757726181905e-07
sigma_value_5,0.0
sigma_value_4,0.0
sigma_value_3,0.0
sigma_value_8,0.0
sigma_value_0,0.0
sigma_value_1,0.0
sigma_value_2,0.0
sigma_value_6,0.0
sigma_value_43,0.0
sigma_value_45,0.0
sigma_value_46,0.0
sigma_value_47,0.0
sigma_value_48,0.0
sigma_value_49,0.0
sigma_value_50,0.0
